specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
3515150574632935424,17.79602,17.22123,17.02738,17.8018,17.22259,17.00834,-1
7255552818353467392,22.00702,21.23254,20.70079,22.01144,21.14759,20.68245,-1
3649136238016962560,21.53265,19.99968,18.88817,21.43071,19.99838,18.88591,-1
2999448829897500672,19.41704,19.1952,19.07464,19.412,19.18768,19.07188,-1
4809964341225517056,21.94733,21.80126,22.03834,21.84149,21.82764,22.07425,-1
7231748391175909376,20.98273,21.00997,20.79473,20.95178,21.0152,20.71997,-1
3213456398000089088,17.99554,17.01259,16.63189,17.97492,17.01914,16.62824,-1
1543624212772579328,21.22522,19.96241,19.97624,21.2487,19.97104,19.97454,-1
1426591922096465920,21.59916,20.14561,19.05035,21.61264,20.14931,19.0622,-1
878335832639956992,19.20481,18.9759,18.93216,19.20652,18.97599,18.93685,-1
6524787977909628928,20.32894,20.06657,20.06048,20.30579,20.04403,20.04798,-1
391902806233081856,15.61699,15.42296,15.39217,15.60564,15.42731,15.39474,-1
969558738111326208,21.53592,20.31672,19.18235,21.46204,20.23092,19.1975,-1
3816915116369223680,17.88021,17.35332,17.1072,17.87904,17.35254,17.11298,-1
931233885834995712,19.24526,18.84931,18.3341,19.15072,18.72439,18.23385,-1
8263139233444327424,18.38698,18.24304,18.11968,18.35504,18.2501,18.11157,-1
3279901810583693312,20.02955,18.9441,18.54988,20.04186,18.94928,18.55575,-1
3645801419266695168,19.42638,18.99213,18.80722,19.42741,18.96085,18.79148,-1
7216109212542889984,22.25171,21.72127,21.06002,22.27971,21.40552,21.07858,-1
1767701664359278592,17.2606,16.94785,16.74051,17.23975,16.93925,16.7575,-1
3257237302472108032,16.16495,15.37865,15.08572,16.17019,15.3886,15.12524,-1
4295548480791441408,21.6736,21.62951,21.83681,21.62013,21.64344,21.84769,-1
8318316301077116928,19.91431,19.60008,19.42994,19.92022,19.57281,19.4024,-1
363837220819331072,17.68712,17.03145,16.78996,17.67949,17.03125,16.79046,-1
5689283933943558144,21.61483,21.39826,21.11192,21.61524,21.26338,21.11696,-1
2598694981082310656,16.68993,16.1004,15.82952,16.6891,16.08817,15.8368,-1
7633660852365357056,20.45864,20.36955,20.2297,20.40481,20.377,20.22054,-1
567490150666364928,16.08034,15.31111,15.04861,16.08537,15.30806,15.03635,-1
8029045783351980032,21.44129,21.19897,20.80924,21.38133,21.06738,20.80809,-1
7279209084896342016,21.4936,21.95986,21.51624,21.4292,21.88064,21.55977,-1
5640766876054908928,22.33189,21.73099,21.71238,22.24921,21.6632,21.73014,-1
824242331954735104,20.81237,20.0507,19.76425,20.81185,20.01144,19.73927,-1
3620935139556696064,16.22745,15.49219,15.18888,16.23057,15.49186,15.18715,-1
5003648812502937600,19.87014,19.78533,19.69412,19.86415,19.78123,19.69914,-1
2016517041296533504,17.94757,17.94092,18.1546,17.95161,17.93303,18.13835,-1
2098813546501531648,22.24389,19.79666,18.61306,21.82812,19.79584,18.62659,-1
2713473819640621056,18.98062,18.77036,18.65331,19.01888,18.78186,18.63772,-1
1880313650124711936,18.78768,18.56369,18.60838,18.75998,18.56062,18.58921,-1
2590703719381231616,19.68937,18.90928,18.5847,19.67682,18.88577,18.55099,-1
8262014981479526400,17.8916,17.68565,17.67897,17.87819,17.68375,17.67935,-1
1437881979566581760,18.9275,18.88566,18.71439,18.91208,18.87895,18.68497,-1
2912874927117854720,20.43166,19.93999,19.89131,20.43139,19.93197,19.88851,-1
1708148262701131776,20.28272,19.52978,18.87621,20.28072,19.43005,18.87767,-1
1629342144290383872,19.7564,19.27936,19.07448,17.04167,16.39679,16.10996,-1
3377724266735837184,12.0018,11.75326,11.65835,15.02808,14.40109,14.32535,-1
6896326150655242240,18.79162,18.4289,18.27254,18.75992,18.43105,18.27497,-1
6140724163533008896,19.96853,19.67316,19.7289,19.95198,19.63347,19.71202,-1
915518566843836416,22.48188,21.01989,20.00787,21.25824,20.98448,19.89156,-1
7532386482897219584,21.48319,21.11685,20.67294,21.40049,20.96029,20.53658,-1
324275699399550976,17.2978,17.41523,17.55296,17.2258,17.412,17.55956,-1
2872332641812637696,18.27092,17.77573,17.5672,18.25079,17.78382,17.56627,-1
5289670271220510720,20.51611,20.27085,20.25714,20.50168,20.27826,20.23812,-1
7248686643585675264,18.37957,18.84261,19.17227,18.34473,18.83736,19.16932,-1
364887804196448256,18.56841,17.62695,17.28562,18.57206,17.63564,17.29511,-1
7317467146639568896,22.02324,22.04382,21.90139,21.9991,21.71775,21.8377,-1
2158517577242929152,19.70426,18.82948,18.5104,19.70658,18.81576,18.50266,-1
1923138254727571456,19.13755,18.96043,18.94297,19.14431,18.95702,18.95605,-1
4205335195496935424,20.71251,19.18526,18.04803,20.71964,19.15753,18.05006,-1
6631790795878494208,21.74114,21.79627,21.6381,21.75302,21.69285,21.65563,-1
4356137064610852864,20.67781,20.41802,20.45008,20.68044,20.41297,20.43803,-1
1244146934126503936,19.16448,17.66186,16.74795,19.18914,17.67272,16.74498,-1
4593737405798477824,25.1141,22.81378,21.11564,25.11438,22.25362,19.99732,-1
2346515100208228352,19.27984,19.06563,18.96444,19.20354,19.03582,18.83506,-1
6761080170054610944,21.51027,21.51035,21.76628,21.41957,21.48054,21.74101,-1
4215484237577121792,19.20324,19.034,19.07526,19.14363,19.0316,19.07823,-1
2140434458786949120,19.704,18.8646,18.55759,19.68846,18.87152,18.56104,-1
487682916365658112,19.09941,19.02781,18.85254,19.07924,19.01922,18.84624,-1
3274245099562756096,16.79335,16.41858,16.30161,16.78921,16.42838,16.29834,-1
2152749264432818176,15.36203,14.78723,14.5599,15.36574,14.7908,14.56309,-1
2578476600576206848,19.23213,17.81085,16.86113,19.24548,17.80773,16.8422,-1
4573570438651375616,21.79732,21.86016,21.70271,21.78134,21.8504,21.69511,-1
720686477838673920,20.14234,18.56377,17.79166,20.14186,18.54489,17.7925,-1
7691234577197232128,19.10246,19.07815,19.07602,19.09219,19.07954,19.04988,-1
8261867373469560832,20.3413,19.92822,19.90056,20.26475,19.93564,19.88219,-1
4776314337059598336,22.52439,21.96196,21.90448,22.40305,21.92758,21.96141,-1
6792729886785728512,22.10256,20.81386,19.87587,21.00166,20.29992,19.59881,-1
7915307900481499136,20.45134,20.20007,20.10096,20.4088,20.18123,20.11067,-1
1265660802883414016,16.73731,15.66504,15.10206,16.68689,15.56084,14.91451,-1
2338639306572195840,16.67402,16.35116,16.2224,16.65494,16.33102,16.22554,-1
1689980770719918080,20.19878,18.97046,18.14495,20.1893,18.96746,18.17174,-1
4846066255717396480,18.25109,17.95595,17.87913,18.25105,17.95703,17.84998,-1
2522075229094701056,17.40319,17.3876,17.26583,17.3734,17.3778,17.25239,-1
3837241787882250240,20.76434,19.27335,18.41218,20.78151,19.28065,18.41316,-1
8461296243363739648,20.67727,20.55838,20.31692,20.63139,20.52631,20.24687,-1
678921526610782208,17.46362,17.43172,17.25631,17.44188,17.44768,17.23519,-1
4240160577106407424,23.48609,21.7117,20.573,21.88386,21.41457,19.33774,-1
6081050367851425792,21.05894,20.94654,20.96977,20.9861,20.89371,20.76954,-1
775771462043723776,18.45523,18.5457,18.64347,18.41742,18.54217,18.66635,-1
7602113386323308544,22.2973,20.92768,19.50268,21.18721,19.80788,18.90827,-1
7073141369313357824,17.2034,16.839,16.73066,17.19781,16.85345,16.73491,-1
8323995552942059520,20.89665,20.63099,20.22165,20.86633,20.62753,20.25161,-1
4701808134082719744,21.25111,20.58773,20.0131,21.26086,20.57633,20.02692,-1
3040026579603318784,19.39682,18.57589,18.20242,19.38423,18.56072,18.20963,-1
5332458316105445376,21.85876,21.86841,21.66348,21.8045,21.80269,21.52855,-1
4866202161862340608,21.33857,21.20479,21.34667,21.25852,21.19941,21.30766,-1
1959200854129010688,20.69003,19.72408,19.05712,20.6976,19.718,19.05961,-1
7978296176380932096,21.37224,20.76886,20.89111,21.36298,20.75789,20.88882,-1
3557868799925526528,18.58097,17.66979,17.32571,18.59023,17.67223,17.32072,-1
7271325586441302016,21.30547,21.23201,20.83672,21.33414,21.24585,20.76832,-1
1270176217613494272,18.66212,17.28252,16.67098,18.67436,17.29198,16.67289,-1
1204723114273957888,21.22057,19.87317,18.99378,21.22076,19.85368,19.01629,-1
641791297341908992,19.29676,19.1232,19.10012,19.25488,19.12782,19.09138,-1
5053137006789062656,22.85169,21.30053,20.2944,22.43037,20.95016,19.95614,-1
1194729104172148736,18.55933,18.89151,19.17402,18.50183,18.88864,19.18201,-1
6797075157359456256,22.69934,21.382,20.04821,22.01937,20.71335,19.47375,-1
4512760573234704384,22.40211,21.01799,20.22876,22.07021,20.69753,19.70073,-1
6109239647601881088,21.36917,21.3602,21.3148,21.36417,21.25083,21.16306,-1
4458779230385926144,24.05962,22.20095,19.29945,24.00217,22.19026,19.29507,-1
5772670615480365056,19.6015,19.40231,19.2606,19.58312,19.34828,19.22291,-1
5783788326365097984,23.21644,21.47665,20.20857,21.34474,20.51289,19.72802,-1
5192840679655141376,21.43976,21.21319,21.38635,21.36147,21.17175,21.26852,-1
4146910446735781888,17.45739,17.02404,16.88943,17.40583,17.02991,16.87873,-1
