specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
4106351660736638976,20.31405,20.08817,19.74536,19.79281,19.84111,20.24559,20.09349,19.74573,19.77824,19.43994,1.156115
7298089899893911552,21.27945,20.09305,19.96613,19.97237,19.83168,21.2579,20.10836,19.96387,19.97995,19.86725,2.99141
7473850132330115072,21.49954,21.11319,20.88735,20.7902,20.25284,21.46377,21.11246,20.82032,20.67427,20.20034,0.904229
8157216404664938496,21.53013,21.68415,21.68321,21.35888,21.19217,21.66003,21.60195,21.64909,21.07324,20.64761,0.7215863
4041081352060858368,23.11512,21.97256,21.51859,21.45495,21.54763,21.61518,21.98324,21.46217,21.1063,21.33206,1.260442
2514184859144972288,19.33997,19.11973,19.135,18.86602,18.58958,19.29499,18.9886,18.81734,18.45511,18.20691,0.4888031
6530405382497169408,21.08692,20.50514,20.84267,20.69378,20.46969,21.08195,20.50254,20.78265,20.7073,20.48088,2.222082
5958492479241777152,20.91097,20.58706,20.50532,20.51417,20.22162,20.88234,20.55564,20.4955,20.40945,20.11934,0.731942
4239171571346501632,22.05703,21.71838,21.76354,21.70704,20.97598,21.87044,21.65475,21.74821,21.72136,20.99484,2.177346
7197009871354130432,20.16436,20.07598,20.13236,19.87174,19.85447,20.14443,20.06687,20.13958,19.83475,19.8378,1.798467
2907233882728327168,18.23349,17.9107,17.66432,17.42539,17.22268,18.22515,17.82165,17.46222,17.1984,17.04323,0.2333201
4457576914689388544,25.14491,22.14487,21.73431,21.45905,21.24316,25.24273,22.16466,21.7084,21.46019,21.33016,1.399639
1078683894322063360,18.79912,18.49482,18.56026,18.40362,18.4511,18.81305,18.47746,18.52277,18.37734,18.4596,0.581399
7601107608095354880,23.07483,21.51286,21.19766,21.1434,20.9798,23.23653,21.4144,21.20078,21.15039,21.0182,3.222394
6824169047509889024,22.05995,21.63371,21.42914,21.41661,21.01236,22.13745,21.57561,21.32791,21.37529,20.43538,0.8350947
6111487050073698304,21.35958,20.77875,20.45335,20.31341,19.92892,21.13865,20.76656,20.41084,20.28649,19.72367,1.972154
1007779141094762496,19.29834,19.15649,18.8384,18.73921,18.71353,19.26604,19.1465,18.8477,18.72585,18.73375,1.42092
476409347895748608,19.61376,19.5382,19.10312,19.07279,18.9113,19.56594,19.52626,19.10672,19.01331,18.8777,1.347634
5376348622554853376,20.47045,20.00818,19.91622,19.96455,19.77865,20.44051,19.99334,19.86736,19.97499,19.80367,0.8643394
7576354578552778752,19.9676,19.79683,19.73604,19.46429,19.38667,19.82209,19.76813,19.72546,19.44036,19.37821,1.616634
6582205569909321728,21.16532,20.50629,20.20287,20.0815,19.76749,21.17053,20.50091,20.11646,20.00653,19.68903,0.8888038
8145953281874259968,20.78104,20.60334,19.99404,19.65154,19.08795,20.43162,19.97328,19.03057,18.49934,18.17979,0.3580763
