specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
2957891136225568768,19.65197,19.50773,19.50082,19.63105,19.50789,19.47807,-1
1068494445474768896,17.68081,17.44447,17.36161,17.63808,17.43449,17.3718,-1
2702263743437367296,19.93946,19.60676,19.48215,19.93555,19.59817,19.48157,-1
4358575781971685376,19.85515,19.79838,19.82701,19.81646,19.79414,19.83478,-1
5048601796101730304,21.52717,21.72176,21.40709,21.45913,21.73863,21.41192,-1
692527163252959232,15.95015,15.25936,15.06334,15.94685,15.26032,15.0518,-1
2615529878509873152,19.31331,19.07066,18.97133,19.30432,19.06699,18.97112,-1
7666274564204851200,19.54769,19.38178,19.2458,19.53827,19.36865,19.24305,-1
5446042266576285696,21.22998,20.86265,20.66309,21.19133,20.8651,20.66703,-1
4280780939732905984,21.57382,21.49248,21.29909,21.51035,21.38708,21.26061,-1
1874659953583613952,17.45986,16.56646,15.77875,17.1918,16.29454,15.59199,-1
5147839868290396160,21.19591,21.26259,21.21206,21.176,21.21189,21.15272,-1
1660856068047136768,16.49126,15.8051,15.62003,16.50371,15.8274,15.62377,-1
3028765927811344384,16.5277,15.97226,15.7515,16.51809,15.96357,15.77027,-1
4288623206736785408,18.78585,18.63147,18.6215,18.78538,18.62549,18.62532,-1
7091005128622927872,18.42392,17.32663,17.01386,18.44205,17.32612,16.93921,-1
6919906276890308608,19.91892,18.50521,17.87938,19.32427,18.02382,17.40653,-1
3669473904612712448,19.4755,19.27307,19.36743,19.41217,19.25858,19.35978,-1
3301158670041114624,19.08524,18.46172,18.23057,19.08409,18.45684,18.23112,-1
6050773116123803648,21.60506,21.22725,21.64853,21.62436,21.21996,21.65927,-1
6144282732261994496,21.54146,21.32624,21.39899,21.51856,21.32712,21.27551,-1
7515438060894089216,21.41916,21.28179,21.23504,21.37567,21.2961,21.20162,-1
3277622799618828288,18.66084,17.37751,16.9598,18.68256,17.36492,16.97839,-1
6537187720493199360,21.79861,21.77753,21.62427,21.68654,21.55782,21.66534,-1
2024376893205145600,20.3896,19.49799,18.94164,19.78934,18.73273,18.19644,-1
5814157666083860480,20.24162,19.91341,19.91669,20.23274,19.91323,19.90163,-1
3500496283859263488,17.92017,17.28842,17.0055,17.9186,17.2808,16.99886,-1
2142717871170545664,19.83432,19.37516,19.17222,19.84356,19.38008,19.17754,-1
6925612742238466048,21.58824,21.61253,21.46445,21.54912,21.55399,21.50415,-1
1281274697899599872,17.45446,16.99255,16.8385,17.41771,16.98988,16.82198,-1
8260854172112056320,23.12035,22.80881,22.77649,23.11059,22.25764,22.33649,-1
3573780657794555904,18.44653,17.39491,17.04188,18.45071,17.40194,17.03716,-1
864838776160020480,16.67008,16.98119,17.23863,16.65042,16.97529,17.21481,-1
8007467869267488768,21.50048,20.57313,19.85634,21.51872,20.49238,19.85554,-1
5760165594322890752,21.9407,21.536,21.48843,21.82763,21.42406,21.46541,-1
3235970824083105792,18.54717,17.83496,17.5511,18.54765,17.82899,17.55862,-1
2870051429576370176,20.46969,19.89549,19.67205,20.45935,19.87803,19.67195,-1
2133727162660841472,19.01958,18.48216,18.23841,18.98839,18.46609,18.23513,-1
7415178544533925888,21.31019,21.15561,21.02364,21.33244,21.16571,21.06955,-1
5800821963472171008,21.96771,21.86771,21.86215,21.83532,21.83878,21.70598,-1
1038127033810446336,19.65302,19.56429,19.20211,19.60018,19.4548,19.03439,-1
7196887550685540352,24.55802,22.19703,21.05205,23.70552,21.42223,20.60876,-1
889529685241784320,22.98856,20.75304,19.95291,22.68596,20.72053,19.95885,-1
4949523708240392192,21.28378,21.02132,21.0984,21.22544,20.9812,20.90638,-1
5590145360259117056,21.34117,21.25323,21.22693,21.333,20.94385,21.14753,-1
5053041624155353088,21.97414,21.97994,21.42435,21.97964,21.80658,21.40044,-1
7268941571444895744,19.21762,19.29885,19.04994,19.24913,19.30615,19.02912,-1
1408663560908728320,18.84758,17.89939,17.53934,18.6622,17.70724,17.2571,-1
3649091707796037632,19.76681,19.21263,19.01993,19.75103,19.20353,19.02276,-1
2552511358373488640,19.189,19.16449,18.99412,19.17026,19.16018,18.98738,-1
5013634851933974528,24.28259,22.19326,20.92361,22.39817,20.929,19.24363,-1
6187950384838537216,18.44803,18.30179,18.13162,18.38675,18.32062,18.16607,-1
2662903975505848320,16.50881,16.17678,16.05901,16.49964,16.17878,16.06751,-1
7208076730815934464,21.09215,20.99836,20.84807,20.98307,20.99655,20.86191,-1
5851324728505724928,21.99162,20.92106,19.84514,20.9521,19.93863,19.38743,-1
7093403167526416384,21.3243,21.42312,21.05678,21.32246,21.45293,20.99268,-1
1205966387885926400,18.97695,17.50426,16.29176,18.98875,17.50296,16.31625,-1
7655029309434425344,21.33045,20.95225,20.71841,21.3065,20.93054,20.63689,-1
6058711041360719872,20.9848,20.78019,20.64593,20.9721,20.74961,20.61703,-1
6176771652501303296,21.45664,21.14804,21.17027,21.43189,21.08815,21.03071,-1
7551578182928494592,21.31643,20.86059,20.86257,21.30625,20.86255,20.89444,-1
3049049449314674688,16.73748,16.31792,16.16727,16.73584,16.3155,16.16262,-1
7637018481082953728,17.63999,17.29574,17.17227,17.54093,17.29813,17.1674,-1
2579460663264962560,18.58767,18.23293,17.99678,18.5329,18.2088,17.93851,-1
2184321192578541568,19.80086,20.08899,20.33698,19.75855,20.08747,20.26401,-1
7658483424843984896,20.69067,20.39587,20.45786,20.71366,20.37499,20.32751,-1
2001954827994687488,20.46697,19.49417,19.02098,20.47722,19.48063,19.03791,-1
2156273479429679104,19.15601,18.86145,18.69608,19.15518,18.8549,18.70817,-1
6643024781158051840,21.77676,21.64704,21.86067,21.75761,21.59648,21.75119,-1
8261923996959436800,21.30181,20.6982,20.38862,21.26528,20.63906,20.3934,-1
5506872198113718272,19.56328,19.52012,19.6225,19.56319,19.52431,19.58135,-1
8261981721319895040,20.36126,20.41829,20.10148,20.35501,20.3749,20.03812,-1
1298195902023886848,20.13061,19.67349,19.48673,20.15339,19.68142,19.4754,-1
4472182275887001600,21.01537,20.10418,19.75473,21.01637,20.10555,19.76865,-1
7220546292220096512,21.46936,21.29566,21.43726,21.42776,21.32389,21.44518,-1
3210010253764618240,16.08826,15.50268,15.23458,16.06085,15.47481,15.22701,-1
4956361565768708096,19.52524,19.48528,19.47981,19.52978,19.4693,19.45555,-1
3575902165664899072,18.32353,17.84575,17.61017,18.33773,17.8164,17.61471,-1
449334973506283520,19.62286,19.27748,18.90732,19.60464,19.26821,18.89859,-1
799429927626631168,17.48665,17.51931,17.5917,17.43529,17.51156,17.58389,-1
6058598341418872832,21.83001,21.91067,21.88334,21.7697,21.78736,21.8006,-1
5010363530047320064,20.55846,20.25122,20.2447,20.52671,20.26621,20.25224,-1
3230232196224673792,20.36666,20.11151,20.02109,20.35839,20.09879,20.01179,-1
2927490187191674880,18.4235,18.1869,17.31411,18.43221,17.98385,17.32005,-1
3586011075520339968,16.91039,16.47875,16.27139,16.90053,16.46796,16.29181,-1
2155119269061355520,17.64487,17.08668,16.89638,17.60329,17.09929,16.90216,-1
2922947554297538560,17.89683,17.50367,17.35583,17.86639,17.51101,17.35479,-1
1558404402862123008,18.80803,17.89756,17.33049,18.79488,17.83797,17.10051,-1
502249246846642176,19.49036,19.21718,19.16628,19.49801,19.20718,19.17639,-1
6934672167439888384,18.91704,18.89918,18.78328,18.87089,18.9078,18.77321,-1
3814677335362347008,18.48432,17.6279,17.27336,18.47666,17.61471,17.27129,-1
5024985940688039936,21.18987,20.6839,20.41915,21.1942,20.7069,20.40355,-1
3310234587312973824,18.30649,17.78639,17.61943,18.29699,17.78937,17.6039,-1
3230328678370011136,19.02659,18.51881,18.28058,19.01947,18.51294,18.28429,-1
3724642725740519424,20.41542,20.34477,20.2615,20.41698,20.32755,20.26858,-1
4441819263275823104,20.47946,19.55593,19.30532,20.47155,19.56312,19.29121,-1
3836065585704312832,16.94284,16.52629,16.36645,16.85289,16.52588,16.36317,-1
2533357863351379968,17.56666,17.10415,16.91499,17.53882,17.11992,16.94381,-1
718365956920862720,17.52878,16.55022,16.17359,17.2647,16.19759,15.82208,-1
2167392011106150400,19.86458,19.33075,18.96424,19.12268,18.31707,17.96167,-1
7595419284991045632,21.94576,21.82499,21.67064,21.94984,21.78652,21.5668,-1
3146989821981911040,17.41684,17.19058,17.14396,17.41277,17.18748,17.15241,-1
7432213825422290944,21.46206,21.54175,21.51905,21.40187,21.51621,21.4156,-1
2150626382827251712,17.23439,16.77867,16.59262,17.20879,16.77829,16.59442,-1
4525089122356490240,18.8912,18.58883,18.49088,18.86115,18.59289,18.49919,-1
3730140010343669760,18.11896,18.03411,18.08531,18.09441,18.00816,18.06798,-1
6697997889534881792,18.71567,18.29313,18.07582,18.71534,18.28515,18.0798,-1
6126181473021784064,21.05096,21.05157,20.93277,20.99453,21.03337,20.81777,-1
2882400039332767744,19.08014,18.8186,18.71789,19.12821,18.85423,18.74951,-1
4125375411994161152,20.27625,20.25931,20.27632,20.27404,20.26412,20.27337,-1
4287480264064167936,16.97838,16.57786,16.43193,16.94604,16.57805,16.42641,-1
4721129848461520896,16.51561,16.85229,17.10658,16.49966,16.83706,17.11899,-1
8359930342186612736,21.37195,20.84641,20.57634,21.36464,20.84071,20.53468,-1
4038728397110308864,20.37502,19.13439,17.73826,20.22168,18.91818,17.50277,-1
3644608174239096832,18.33248,17.53019,17.26404,18.32628,17.53437,17.27148,-1
6540354314702614528,21.37438,20.81679,20.70105,21.33984,20.81833,20.67805,-1
8008762819842076672,22.69735,21.40103,20.22087,22.34674,20.85606,19.74113,-1
7911828495935401984,20.5228,20.50209,20.30039,20.51296,20.4743,20.29845,-1
2755249770833405952,18.12776,17.65114,17.46392,18.12428,17.65976,17.4676,-1
2951140134847801344,15.19728,14.62118,14.36043,15.23146,14.60944,14.35347,-1
4578163374621913088,22.08506,20.99169,20.19818,21.73771,20.38202,19.5962,-1
2083087789380888576,17.52898,17.06507,16.87125,17.52557,17.07245,16.87925,-1
3221342372000458752,16.71865,16.34303,16.17609,16.69416,16.32457,16.15545,-1
2605432227407882240,16.84658,16.27701,16.08635,16.84599,16.29985,16.09458,-1
3292301004149647360,16.31703,16.0615,15.97428,16.29517,16.06753,15.98506,-1
1800459963034789888,17.25431,17.2213,17.06258,17.21878,17.17594,17.04001,-1
8263034504643014656,21.34215,21.10735,21.12369,21.22678,20.9507,21.05253,-1
1694575891285305344,18.02909,17.68386,17.59294,18.01232,17.68931,17.57743,-1
6729509343064682496,21.12025,20.94223,20.81163,21.10342,20.9548,20.71458,-1
8461173372939335680,21.20881,19.87862,19.48825,21.23965,19.88222,19.44543,-1
5383071585480142848,21.12533,21.06311,20.94561,21.13784,20.99854,20.83813,-1
7284764918074241024,19.19266,18.88199,18.76164,19.16744,18.87136,18.76287,-1
5867108495719591936,21.31739,21.44945,21.36584,21.30914,21.43698,21.27518,-1
2912753431082985472,18.82693,18.5104,18.42266,18.7097,18.27705,18.09099,-1
1702476433663748096,19.85212,18.63553,18.16336,19.82434,18.643,18.16412,-1
2855404549567440896,17.18406,16.39744,16.1222,17.19478,16.39043,16.10823,-1
1543610193999325184,18.70833,18.55871,18.41013,18.7049,18.57627,18.38839,-1
3860846928610828288,18.21613,17.43238,17.08634,18.19882,17.43037,17.08517,-1
7240708036519194624,17.96346,18.16775,17.73622,17.96075,18.16233,17.76637,-1
2131451448418920448,18.56059,18.17422,18.0153,18.55237,18.16632,18.01929,-1
