specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
2634681710943430656,20.73306,19.98863,19.59347,20.73202,19.97997,19.61199,-1
1645065709350316032,18.01067,18.17165,17.99637,17.97244,18.1329,17.97384,-1
1899430306054694912,18.70085,18.40474,18.11898,18.69229,18.40615,18.11621,-1
4519512403859927040,20.75228,20.54455,20.41925,20.72807,20.51751,20.3891,-1
8223760499474100224,21.9277,21.6446,21.59636,21.90423,21.56156,21.38675,-1
1658501738858047488,19.69962,19.03266,18.70359,19.7008,19.03657,18.70435,-1
3301164992232974336,19.66681,19.37793,19.25086,19.6555,19.36126,19.22766,-1
6887386846226739200,22.38527,21.34637,20.22976,21.28341,20.94644,20.04498,-1
5146563335407988736,20.70604,20.6131,20.6404,20.6543,20.62938,20.60229,-1
1273425828675348480,20.45094,18.92056,17.39789,20.45881,18.89658,17.48849,-1
1196999869722552320,20.05647,20.03044,19.89953,20.03348,20.02315,19.90414,-1
5603658088755949568,21.38539,21.04609,21.08757,21.37889,21.02024,21.02113,-1
6034971485369200640,17.135,16.7932,16.70029,17.01862,16.7886,16.69681,-1
2145013932182497280,18.40166,18.08819,18.0048,18.36939,18.08544,18.00434,-1
2202330094435854336,19.99342,18.7643,18.58826,19.56958,18.75811,18.60891,-1
3539962427930157056,18.09669,17.18456,16.9176,17.93598,17.19347,16.92766,-1
2677563489496623104,18.83776,17.68688,17.18459,18.85023,17.69351,17.17967,-1
2132495434726270976,17.84358,17.53408,17.38664,17.82953,17.52118,17.38713,-1
2892451775120435200,20.65449,20.33612,20.25415,20.6168,20.28979,20.25403,-1
8071802492994383872,20.07177,19.90849,19.73755,20.05231,19.89218,19.67686,-1
4723343164965580800,19.33608,18.92963,18.79677,19.32641,18.94201,18.7893,-1
7327473801359978496,18.7467,18.59962,18.6287,18.7447,18.59982,18.57456,-1
1406289740805728256,20.96375,19.38874,18.0013,20.9724,19.39393,17.98081,-1
6086755733788618752,22.01732,21.3286,20.78913,21.98277,21.33072,20.79815,-1
7515624428114997248,18.72694,17.47246,16.90455,18.72857,17.46318,16.90083,-1
8462468872531539968,21.06827,19.3027,18.29367,21.07927,19.32433,18.24647,-1
700377946237462528,18.2281,18.3413,18.15792,18.22034,18.32609,18.16161,-1
2170818089338300416,19.25555,19.0707,19.00799,19.24336,19.04874,18.99579,-1
8167419872386150400,17.87314,17.25443,17.02337,17.86059,17.24453,17.00803,-1
1618007552556034048,21.41819,20.15498,19.85534,21.42098,20.17641,19.87389,-1
7526816906679611392,21.56944,21.41636,21.41663,21.538,21.39409,21.27897,-1
7524447459188862976,20.24774,20.10103,19.76609,20.24298,20.04093,19.78751,-1
7591039930664153088,20.15166,19.95418,19.6847,20.10725,19.93633,19.67666,-1
8211394841885208576,22.38745,21.30408,20.88502,22.40785,21.28119,20.8767,-1
3705408419415564288,18.62547,18.29154,18.16948,18.62646,18.30314,18.16977,-1
1689008252517378048,18.38943,17.60063,17.26933,18.36462,17.6076,17.2852,-1
6001182668699136000,21.81454,21.80494,21.81194,21.78106,21.84965,21.68688,-1
5790599800815284224,22.99148,22.57451,22.15148,22.99982,22.59732,21.90122,-1
